business_id,date,violation_type_id,risk_category,description
56,2015-12-22,103133,Moderate Risk,Foods not protected from contamination
56,2015-12-22,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
56,2015-12-22,103120,Moderate Risk,Moderate risk food holding temperature
56,2013-10-21,103144,Low Risk,Unapproved or unmaintained equipment or utensils
56,2013-10-21,103145,Low Risk,Improper storage of equipment utensils or linens
56,2013-10-21,103154,Low Risk,Unclean or degraded floors walls or ceilings
58,2014-07-25,103109,High Risk,Unclean or unsanitary food contact surfaces
58,2014-07-25,103114,High Risk,High risk vermin infestation
58,2014-07-25,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
58,2014-07-25,103120,Moderate Risk,Moderate risk food holding temperature
58,2016-04-07,103148,Low Risk,No thermometers or uncalibrated thermometers
58,2016-04-07,103147,Low Risk,Inadequate ventilation or lighting
58,2016-04-07,103109,High Risk,Unclean or unsanitary food contact surfaces
58,2016-04-07,103105,High Risk,Improper cooling methods
58,2016-04-07,103103,High Risk,High risk food holding temperature
58,2016-04-07,103161,Low Risk,Low risk vermin infestation
61,2015-08-27,103142,Low Risk,Unclean nonfood contact surfaces
61,2015-08-27,103133,Moderate Risk,Foods not protected from contamination
61,2015-08-27,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
61,2013-10-28,103133,Moderate Risk,Foods not protected from contamination
61,2013-10-28,103120,Moderate Risk,Moderate risk food holding temperature
61,2014-05-30,103142,Low Risk,Unclean nonfood contact surfaces
61,2014-05-30,103144,Low Risk,Unapproved or unmaintained equipment or utensils
61,2014-05-30,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
61,2016-07-08,103142,Low Risk,Unclean nonfood contact surfaces
61,2016-07-08,103139,Low Risk,Improper food storage
61,2016-07-08,103150,Low Risk,Improper or defective plumbing
66,2014-11-19,103143,Low Risk,Inadequate warewashing facilities or equipment
66,2016-03-22,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
66,2014-02-10,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
66,2014-05-19,103112,High Risk,No hot water or running water
66,2014-05-19,103165,Low Risk,No plan review or Building Permit
73,2016-09-27,103154,Low Risk,Unclean or degraded floors walls or ceilings
73,2016-09-27,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
73,2016-09-27,103131,Moderate Risk,Moderate risk vermin infestation
73,2015-07-17,103138,Low Risk,Improper storage use or identification of toxic substances
73,2015-07-17,103103,High Risk,High risk food holding temperature
73,2015-07-17,103145,Low Risk,Improper storage of equipment utensils or linens
73,2015-07-17,103161,Low Risk,Low risk vermin infestation
73,2015-07-17,103139,Low Risk,Improper food storage
73,2013-12-20,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
73,2013-12-20,103145,Low Risk,Improper storage of equipment utensils or linens
73,2013-12-20,103150,Low Risk,Improper or defective plumbing
73,2014-05-22,103133,Moderate Risk,Foods not protected from contamination
73,2014-05-22,103142,Low Risk,Unclean nonfood contact surfaces
73,2014-05-22,103139,Low Risk,Improper food storage
76,2014-06-12,103145,Low Risk,Improper storage of equipment utensils or linens
76,2014-06-12,103156,Low Risk,Permit license or inspection report not posted
76,2013-11-18,103145,Low Risk,Improper storage of equipment utensils or linens
77,2014-06-12,103156,Low Risk,Permit license or inspection report not posted
77,2014-06-12,103120,Moderate Risk,Moderate risk food holding temperature
77,2014-11-24,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
77,2014-11-24,103144,Low Risk,Unapproved or unmaintained equipment or utensils
77,2016-03-11,103144,Low Risk,Unapproved or unmaintained equipment or utensils
77,2016-03-11,103103,High Risk,High risk food holding temperature
80,2016-04-12,103139,Low Risk,Improper food storage
80,2013-12-04,103103,High Risk,High risk food holding temperature
80,2013-12-04,103115,High Risk,Other high risk violation
88,2014-10-14,103108,High Risk,Contaminated or adulterated food
88,2014-10-14,103103,High Risk,High risk food holding temperature
88,2014-10-14,103131,Moderate Risk,Moderate risk vermin infestation
88,2014-10-14,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager
88,2014-10-14,103154,Low Risk,Unclean or degraded floors walls or ceilings
88,2014-10-14,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
88,2015-08-24,103154,Low Risk,Unclean or degraded floors walls or ceilings
88,2015-08-24,103156,Low Risk,Permit license or inspection report not posted
88,2015-08-24,103103,High Risk,High risk food holding temperature
88,2014-02-11,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager
88,2014-02-11,103142,Low Risk,Unclean nonfood contact surfaces
88,2014-02-11,103108,High Risk,Contaminated or adulterated food
88,2014-02-11,103103,High Risk,High risk food holding temperature
88,2014-02-11,103154,Low Risk,Unclean or degraded floors walls or ceilings
88,2014-03-19,103105,High Risk,Improper cooling methods
88,2014-03-19,103109,High Risk,Unclean or unsanitary food contact surfaces
95,2016-07-18,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
95,2016-07-18,103131,Moderate Risk,Moderate risk vermin infestation
95,2016-07-18,103142,Low Risk,Unclean nonfood contact surfaces
95,2016-07-18,103144,Low Risk,Unapproved or unmaintained equipment or utensils
95,2016-07-18,103154,Low Risk,Unclean or degraded floors walls or ceilings
95,2014-10-09,103157,Low Risk,Food safety certificate or food handler card not available
95,2014-10-09,103154,Low Risk,Unclean or degraded floors walls or ceilings
95,2014-10-09,103142,Low Risk,Unclean nonfood contact surfaces
95,2014-10-09,103139,Low Risk,Improper food storage
95,2014-10-09,103114,High Risk,High risk vermin infestation
95,2015-12-10,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
95,2015-12-10,103131,Moderate Risk,Moderate risk vermin infestation
95,2015-12-10,103142,Low Risk,Unclean nonfood contact surfaces
95,2015-12-10,103154,Low Risk,Unclean or degraded floors walls or ceilings
95,2014-05-06,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager
95,2014-05-06,103144,Low Risk,Unapproved or unmaintained equipment or utensils
95,2014-05-06,103156,Low Risk,Permit license or inspection report not posted
95,2014-05-06,103129,Moderate Risk,Insufficient hot water or running water
95,2014-05-06,103142,Low Risk,Unclean nonfood contact surfaces
98,2015-06-29,103154,Low Risk,Unclean or degraded floors walls or ceilings
98,2015-06-29,103131,Moderate Risk,Moderate risk vermin infestation
98,2016-03-16,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager
98,2014-03-24,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
99,2015-08-11,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
99,2015-08-11,103147,Low Risk,Inadequate ventilation or lighting
99,2015-08-11,103145,Low Risk,Improper storage of equipment utensils or linens
99,2015-08-11,103139,Low Risk,Improper food storage
99,2015-08-11,103133,Moderate Risk,Foods not protected from contamination
99,2015-08-11,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
99,2015-08-11,103131,Moderate Risk,Moderate risk vermin infestation
99,2015-08-11,103132,Moderate Risk,Improper thawing methods
101,2014-09-02,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager
101,2016-05-25,103154,Low Risk,Unclean or degraded floors walls or ceilings
102,2014-05-07,103109,High Risk,Unclean or unsanitary food contact surfaces
102,2014-05-07,103147,Low Risk,Inadequate ventilation or lighting
108,2015-04-17,103144,Low Risk,Unapproved or unmaintained equipment or utensils
108,2015-04-17,103133,Moderate Risk,Foods not protected from contamination
108,2013-11-05,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
108,2013-11-05,103156,Low Risk,Permit license or inspection report not posted
108,2013-11-05,103155,Low Risk,Unapproved  living quarters in food facility
108,2013-11-05,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
108,2013-11-05,103147,Low Risk,Inadequate ventilation or lighting
108,2013-11-05,103131,Moderate Risk,Moderate risk vermin infestation
108,2013-11-05,103133,Moderate Risk,Foods not protected from contamination
116,2014-09-10,103120,Moderate Risk,Moderate risk food holding temperature
116,2016-05-27,103156,Low Risk,Permit license or inspection report not posted
116,2016-05-27,103157,Low Risk,Food safety certificate or food handler card not available
116,2016-05-27,103105,High Risk,Improper cooling methods
116,2016-05-27,103150,Low Risk,Improper or defective plumbing
116,2016-05-27,103109,High Risk,Unclean or unsanitary food contact surfaces
116,2016-05-27,103118,Moderate Risk,Employee eating or smoking
121,2014-08-13,103161,Low Risk,Low risk vermin infestation
121,2014-08-13,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
121,2014-08-13,103133,Moderate Risk,Foods not protected from contamination
121,2014-08-13,103150,Low Risk,Improper or defective plumbing
121,2015-10-20,103131,Moderate Risk,Moderate risk vermin infestation
121,2015-10-20,103138,Low Risk,Improper storage use or identification of toxic substances
121,2015-10-20,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
121,2015-10-20,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
121,2014-01-29,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
121,2014-01-29,103139,Low Risk,Improper food storage
121,2014-01-29,103103,High Risk,High risk food holding temperature
126,2014-10-28,103103,High Risk,High risk food holding temperature
126,2014-10-28,103154,Low Risk,Unclean or degraded floors walls or ceilings
126,2014-10-28,103151,Low Risk,Inadequate or unsanitary refuse containers or area or no garbage service
126,2014-10-28,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
126,2014-10-28,103133,Moderate Risk,Foods not protected from contamination
126,2014-10-28,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
126,2014-10-28,103131,Moderate Risk,Moderate risk vermin infestation
126,2015-12-01,103131,Moderate Risk,Moderate risk vermin infestation
126,2015-12-01,103133,Moderate Risk,Foods not protected from contamination
126,2015-12-01,103154,Low Risk,Unclean or degraded floors walls or ceilings
126,2015-12-01,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
126,2015-12-01,103144,Low Risk,Unapproved or unmaintained equipment or utensils
126,2015-12-01,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
126,2015-12-01,103139,Low Risk,Improper food storage
126,2014-04-10,103144,Low Risk,Unapproved or unmaintained equipment or utensils
126,2014-04-10,103142,Low Risk,Unclean nonfood contact surfaces
126,2014-04-10,103139,Low Risk,Improper food storage
126,2014-04-10,103133,Moderate Risk,Foods not protected from contamination
126,2014-04-10,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
126,2014-04-10,103114,High Risk,High risk vermin infestation
126,2014-04-10,103108,High Risk,Contaminated or adulterated food
126,2014-04-10,103154,Low Risk,Unclean or degraded floors walls or ceilings
132,2014-06-25,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
132,2014-06-25,103139,Low Risk,Improper food storage
132,2014-06-25,103120,Moderate Risk,Moderate risk food holding temperature
132,2014-06-25,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
132,2015-02-25,103139,Low Risk,Improper food storage
132,2015-02-25,103154,Low Risk,Unclean or degraded floors walls or ceilings
132,2015-02-25,103153,Low Risk,Inadequate dressing rooms or improper storage of personal items
132,2015-02-25,103142,Low Risk,Unclean nonfood contact surfaces
132,2015-02-25,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
132,2015-02-25,103144,Low Risk,Unapproved or unmaintained equipment or utensils
132,2016-05-09,103112,High Risk,No hot water or running water
132,2016-05-09,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
132,2016-05-09,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
132,2016-05-09,103139,Low Risk,Improper food storage
132,2016-05-09,103141,Low Risk,Improper food labeling or menu misrepresentation
134,2015-08-06,103145,Low Risk,Improper storage of equipment utensils or linens
140,2014-07-09,103120,Moderate Risk,Moderate risk food holding temperature
140,2016-04-14,103103,High Risk,High risk food holding temperature
140,2016-04-14,103156,Low Risk,Permit license or inspection report not posted
140,2016-04-14,103154,Low Risk,Unclean or degraded floors walls or ceilings
140,2016-04-14,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
140,2013-11-22,103103,High Risk,High risk food holding temperature
140,2013-11-22,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
140,2013-11-22,103120,Moderate Risk,Moderate risk food holding temperature
140,2013-11-22,103107,High Risk,Improper reheating of food
141,2014-04-09,103139,Low Risk,Improper food storage
164,2015-11-06,103144,Low Risk,Unapproved or unmaintained equipment or utensils
164,2015-11-06,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
178,2014-07-30,103157,Low Risk,Food safety certificate or food handler card not available
178,2014-07-30,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
178,2014-07-30,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
178,2014-02-04,103133,Moderate Risk,Foods not protected from contamination
178,2016-06-23,103139,Low Risk,Improper food storage
178,2016-06-23,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
178,2016-06-23,103156,Low Risk,Permit license or inspection report not posted
178,2016-06-23,103103,High Risk,High risk food holding temperature
178,2016-06-23,103147,Low Risk,Inadequate ventilation or lighting
178,2016-06-23,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
178,2016-06-23,103142,Low Risk,Unclean nonfood contact surfaces
178,2016-06-23,103144,Low Risk,Unapproved or unmaintained equipment or utensils
178,2016-06-23,103133,Moderate Risk,Foods not protected from contamination
178,2016-06-23,103102,High Risk,Unclean hands or improper use of gloves
179,2014-05-22,103144,Low Risk,Unapproved or unmaintained equipment or utensils
179,2014-05-22,103120,Moderate Risk,Moderate risk food holding temperature
180,2014-11-04,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
180,2014-11-04,103114,High Risk,High risk vermin infestation
180,2016-01-06,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
180,2016-01-06,103120,Moderate Risk,Moderate risk food holding temperature
180,2016-01-06,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
180,2016-01-06,103157,Low Risk,Food safety certificate or food handler card not available
180,2013-10-21,103154,Low Risk,Unclean or degraded floors walls or ceilings
180,2013-10-21,103114,High Risk,High risk vermin infestation
180,2016-06-17,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
184,2016-10-03,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
184,2014-09-23,103139,Low Risk,Improper food storage
184,2014-09-23,103154,Low Risk,Unclean or degraded floors walls or ceilings
187,2016-05-11,103107,High Risk,Improper reheating of food
187,2016-05-11,103120,Moderate Risk,Moderate risk food holding temperature
190,2015-03-27,103156,Low Risk,Permit license or inspection report not posted
190,2015-03-27,103150,Low Risk,Improper or defective plumbing
190,2015-03-27,103120,Moderate Risk,Moderate risk food holding temperature
190,2014-04-21,103156,Low Risk,Permit license or inspection report not posted
192,2014-08-13,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
192,2014-08-13,103120,Moderate Risk,Moderate risk food holding temperature
192,2014-08-13,103139,Low Risk,Improper food storage
192,2016-06-28,103131,Moderate Risk,Moderate risk vermin infestation
192,2016-06-28,103120,Moderate Risk,Moderate risk food holding temperature
192,2016-06-28,103139,Low Risk,Improper food storage
194,2015-04-20,103120,Moderate Risk,Moderate risk food holding temperature
194,2015-04-20,103157,Low Risk,Food safety certificate or food handler card not available
194,2015-04-20,103102,High Risk,Unclean hands or improper use of gloves
194,2015-04-20,103108,High Risk,Contaminated or adulterated food
194,2014-03-07,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager
194,2014-03-07,103142,Low Risk,Unclean nonfood contact surfaces
194,2014-03-05,103144,Low Risk,Unapproved or unmaintained equipment or utensils
194,2014-03-05,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
194,2014-03-05,103165,Low Risk,No plan review or Building Permit
194,2014-03-05,103120,Moderate Risk,Moderate risk food holding temperature
198,2015-02-06,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager
198,2015-02-06,103157,Low Risk,Food safety certificate or food handler card not available
198,2015-10-29,103120,Moderate Risk,Moderate risk food holding temperature
198,2015-10-29,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
198,2014-05-05,103132,Moderate Risk,Improper thawing methods
200,2015-01-29,103109,High Risk,Unclean or unsanitary food contact surfaces
200,2015-01-29,103131,Moderate Risk,Moderate risk vermin infestation
200,2015-01-29,103144,Low Risk,Unapproved or unmaintained equipment or utensils
200,2015-10-01,103120,Moderate Risk,Moderate risk food holding temperature
200,2015-10-01,103144,Low Risk,Unapproved or unmaintained equipment or utensils
200,2014-03-17,103139,Low Risk,Improper food storage
200,2014-03-17,103144,Low Risk,Unapproved or unmaintained equipment or utensils
200,2014-03-17,103120,Moderate Risk,Moderate risk food holding temperature
208,2015-02-12,103144,Low Risk,Unapproved or unmaintained equipment or utensils
208,2015-02-12,103131,Moderate Risk,Moderate risk vermin infestation
208,2015-10-07,103120,Moderate Risk,Moderate risk food holding temperature
208,2015-10-07,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
208,2015-10-07,103161,Low Risk,Low risk vermin infestation
208,2014-03-13,103103,High Risk,High risk food holding temperature
208,2014-03-13,103161,Low Risk,Low risk vermin infestation
217,2016-09-12,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
217,2016-09-12,103120,Moderate Risk,Moderate risk food holding temperature
217,2016-09-12,103145,Low Risk,Improper storage of equipment utensils or linens
217,2016-09-12,103154,Low Risk,Unclean or degraded floors walls or ceilings
217,2014-06-24,103143,Low Risk,Inadequate warewashing facilities or equipment
217,2014-06-24,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager
217,2015-08-18,103145,Low Risk,Improper storage of equipment utensils or linens
217,2015-08-18,103154,Low Risk,Unclean or degraded floors walls or ceilings
217,2015-08-18,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
217,2016-03-29,103144,Low Risk,Unapproved or unmaintained equipment or utensils
217,2016-03-29,103142,Low Risk,Unclean nonfood contact surfaces
217,2016-03-29,103154,Low Risk,Unclean or degraded floors walls or ceilings
221,2014-01-22,103114,High Risk,High risk vermin infestation
221,2014-01-22,103154,Low Risk,Unclean or degraded floors walls or ceilings
226,2014-09-10,103103,High Risk,High risk food holding temperature
226,2014-09-10,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
226,2014-09-10,103156,Low Risk,Permit license or inspection report not posted
226,2016-05-23,103154,Low Risk,Unclean or degraded floors walls or ceilings
226,2016-05-23,103109,High Risk,Unclean or unsanitary food contact surfaces
226,2016-05-23,103105,High Risk,Improper cooling methods
226,2016-05-23,103150,Low Risk,Improper or defective plumbing
231,2014-09-02,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
231,2014-09-02,103138,Low Risk,Improper storage use or identification of toxic substances
231,2014-09-02,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
231,2016-03-01,103143,Low Risk,Inadequate warewashing facilities or equipment
231,2016-03-01,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
231,2016-03-01,103139,Low Risk,Improper food storage
231,2016-03-01,103133,Moderate Risk,Foods not protected from contamination
231,2016-03-01,103154,Low Risk,Unclean or degraded floors walls or ceilings
231,2014-02-04,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
231,2014-02-04,103139,Low Risk,Improper food storage
231,2014-02-04,103154,Low Risk,Unclean or degraded floors walls or ceilings
234,2016-09-27,103157,Low Risk,Food safety certificate or food handler card not available
234,2016-05-03,103154,Low Risk,Unclean or degraded floors walls or ceilings
234,2016-09-27,103144,Low Risk,Unapproved or unmaintained equipment or utensils
234,2016-09-27,103142,Low Risk,Unclean nonfood contact surfaces
234,2016-09-27,103139,Low Risk,Improper food storage
234,2016-09-27,103133,Moderate Risk,Foods not protected from contamination
234,2016-09-27,103105,High Risk,Improper cooling methods
234,2016-05-03,103143,Low Risk,Inadequate warewashing facilities or equipment
234,2016-05-03,103131,Moderate Risk,Moderate risk vermin infestation
234,2016-05-03,103103,High Risk,High risk food holding temperature
234,2016-05-03,103133,Moderate Risk,Foods not protected from contamination
234,2015-05-05,103154,Low Risk,Unclean or degraded floors walls or ceilings
234,2015-05-05,103144,Low Risk,Unapproved or unmaintained equipment or utensils
234,2015-05-05,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
234,2015-05-05,103131,Moderate Risk,Moderate risk vermin infestation
234,2015-05-05,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
234,2015-05-05,103121,Moderate Risk,Inadequate procedures or records for time as a public health control
234,2014-04-15,103154,Low Risk,Unclean or degraded floors walls or ceilings
234,2014-04-15,103145,Low Risk,Improper storage of equipment utensils or linens
234,2014-04-15,103144,Low Risk,Unapproved or unmaintained equipment or utensils
234,2014-04-15,103105,High Risk,Improper cooling methods
234,2014-04-15,103120,Moderate Risk,Moderate risk food holding temperature
234,2014-04-15,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
236,2014-11-18,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
236,2014-11-18,103144,Low Risk,Unapproved or unmaintained equipment or utensils
236,2014-11-18,103150,Low Risk,Improper or defective plumbing
236,2014-11-18,103156,Low Risk,Permit license or inspection report not posted
236,2014-11-18,103157,Low Risk,Food safety certificate or food handler card not available
236,2015-12-14,103154,Low Risk,Unclean or degraded floors walls or ceilings
236,2015-12-14,103131,Moderate Risk,Moderate risk vermin infestation
239,2014-05-07,103133,Moderate Risk,Foods not protected from contamination
239,2014-05-07,103142,Low Risk,Unclean nonfood contact surfaces
239,2014-05-07,103120,Moderate Risk,Moderate risk food holding temperature
239,2016-05-25,103132,Moderate Risk,Improper thawing methods
239,2016-05-25,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
239,2016-05-25,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager
239,2016-05-25,103120,Moderate Risk,Moderate risk food holding temperature
240,2014-07-24,103139,Low Risk,Improper food storage
240,2014-07-24,103132,Moderate Risk,Improper thawing methods
240,2014-07-24,103109,High Risk,Unclean or unsanitary food contact surfaces
240,2014-07-24,103144,Low Risk,Unapproved or unmaintained equipment or utensils
240,2014-07-24,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
240,2014-07-24,103154,Low Risk,Unclean or degraded floors walls or ceilings
240,2015-08-13,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
240,2015-08-13,103154,Low Risk,Unclean or degraded floors walls or ceilings
240,2015-08-13,103144,Low Risk,Unapproved or unmaintained equipment or utensils
240,2015-08-13,103142,Low Risk,Unclean nonfood contact surfaces
240,2015-08-13,103120,Moderate Risk,Moderate risk food holding temperature
240,2015-08-13,103114,High Risk,High risk vermin infestation
240,2015-08-13,103102,High Risk,Unclean hands or improper use of gloves
240,2015-08-13,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
240,2014-02-06,103144,Low Risk,Unapproved or unmaintained equipment or utensils
240,2014-02-06,103105,High Risk,Improper cooling methods
240,2014-02-06,103120,Moderate Risk,Moderate risk food holding temperature
240,2014-02-06,103154,Low Risk,Unclean or degraded floors walls or ceilings
240,2014-02-06,103142,Low Risk,Unclean nonfood contact surfaces
240,2014-02-06,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
247,2014-09-09,103129,Moderate Risk,Insufficient hot water or running water
247,2014-09-09,103109,High Risk,Unclean or unsanitary food contact surfaces
247,2014-09-09,103143,Low Risk,Inadequate warewashing facilities or equipment
247,2014-09-09,103148,Low Risk,No thermometers or uncalibrated thermometers
247,2014-09-09,103142,Low Risk,Unclean nonfood contact surfaces
247,2014-03-04,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
247,2014-03-04,103157,Low Risk,Food safety certificate or food handler card not available
247,2014-03-04,103150,Low Risk,Improper or defective plumbing
