business,address,business_certificate,business_id,city,latitude,longitude,owner_address,owner_city,owner_name,owner_state,owner_zip,phone_number,postal_code,tax_code
SUN VALLEY,1601 CHURCH St,102892,7708,SF,37.7452,-122.427,1601 CHURCH ST,SF,"RAFIDI, SHAWKI S.",CA,94131,14155283747,94131,H03
Cafe Bello,2885 Diamond St,374119,11079,SF,37.7338,-122.434,2885 Diamond St.,SF,Jane Li,CA,94131,null,94131,H24
AFC Sushi @ Safeway #667,5290 Diamond Heights Blvd,467295,17346,SF,37.7441,-122.439,5290 Diamond Heights Blvd.,SF,AFC Franchise Corporation,CA,94131,null,94131,H28
Canyon Market,2815 Diamond St,396835,22606,SF,37.7341,-122.434,2815 DIAMOND STREET,SAN FRANCISCO,CANYON MARKET,CA,94131,null,94131,H09
Chenery Market,100 CHENERY St,390812,27055,SF,37.7397,-122.426,100 Chenery Street,SF,Michael Rantisi & Nadia Rantisi,CA,94131,null,94131,H07
Choice Yakiniku,5214A Diamond Heights Blvd.,199359,28035,SF,37.7444,-122.439,816 Victoria Street,SF,Edward & Marilyn Lee,CA,94127,null,94131,H24
Gialina,2842 DIAMOND St,400449,32738,SF,37.7339,-122.434,2842 Diamond St.,SF,1959LLC,CA,94131,null,94131,H24
Regent Thai Restaurant,1700 Church St,425897,34865,SF,37.7436,-122.427,115 Hazelwood Ave.,SF,"Regent Thai, Inc.",CA,94112,null,94131,H25
Henry's Hunan Restaurant,1708 CHURCH St,433692,39888,S.F.,37.7434,-122.427,1708 Church St.,SF,"Eddy & Jeff Hunan, Inc.",CA,94131,null,94131,H25
Manzoni,2790 Diamond St,134909,60544,SF,37.7347,-122.434,2790,Diamond St.,Manhal Jweinat,SF,94131,14155332251,94131,H24
La Ciccia,291 30th St,456995,65549,SF,37.7421,-122.427,291 30th St.,SF,La Ciccia Inc.,CA,94131,null,94131,H25
Kama Sushi,1497 CHURCH St,460427,66612,SF,37.747,-122.427,1300 30th Ave,SF,C27 Sushi Lounge Inc.,CA,94122,null,94131,H25
Tataki Canyon,678 CHENERY St,464163,67919,SF,37.7346,-122.434,678 Chenery,Sf.,Tataki Investment LLC,CA,94131,14155859383,94131,H25
Cheese Boutique,660 Chenery St,144569,69291,San Francisco,37.7345,-122.433,660 Chenery Street,San Francisco,Rachid Malouf,CA,94131,null,94131,H07
"La Corneta, Inc",2834 Diamond St,355952,69475,SF,37.734,-122.434,2834 Diamond Street,San Francisco,"La Corneta, Inc",CA,94131,14155468757,94131,H26
Modern Market,1401 Church St,483371,76123,SF.,null,null,9 Mateo Ave #F,Millbrae,Taeyun Kim & Sangkyung Kim,CA,94030,14155282240,94131,H03
Rockit Swirl,2810 Diamond St,468709,76545,SF.,null,null,25 Tallwood Dr,Daly City,Mafucafo LLC,CA,94014,14155835282,94131,H28
La Nebbia,1781 Church St,484176,76832,SF,null,null,638 19th Street,San Francisco,La Nebbia Inc.,CA,94107,14155628654,94131,H26
Cup,6 Monterey Blvd,485141,77665,SF,null,null,58 Tahoe Ct #11,Walnut Creek,Ann Irmat Raie,CA,94596,14155509573,94131,H24
Creighton's Bakery Cafe,5214 D Diamond Heights Blvd,451358,78216,SF,null,null,15 Highland Ave,Daly City,Sen Thai,CA,94015,14155282366,94131,H25
Bom Dia Market,1598 Sanchez St,490850,80406,SF,null,null,1436 Adobe Drive,Pacifica,Upside Markets LLC,CA,94044,14155805519,94131,H07
Glutless,141 Marview Way,1005297,81027,SF,null,null,141 Marview Way,San Francisco,Glutless LLC,CA,94131,14155307877,94131,H98
Church Produce,1798 Church St,1006891,81863,SF,null,null,37171 Sycamore St. #117,Newark,Level 10 Profit Inc.,CA,94560,14155281153,94131,H03
Harbor Villa Restaurant,5238 Diamond Heights Blvd,1009208,82134,SF,null,null,1894 24th Ave.,SF,"S.C. Liang, Inc.",CA,94122,14155288883,94131,H26
Toast Eatery,1748 Church St,1007650,82196,SF,null,null,1748 Church St.,SF,"Toast Eatery Church St, LLC",CA,94131,14155284328,94131,H24
Glen Park Market,2900 Diamond St,148205,82217,SF,null,null,1423 Bacon St.,SF,Jung Hoon Lee,CA,94134,14155584427,94131,H07
Pretzelina LLC,4083 Cesar Chavez,1010867,82409,San Francisco,null,null,4083 Cesar Chavez St.,SF,Pretzelina LLC,CA,94131,null,94131,H99
Twin Peaks Pizza and Pasta,1681 Church St,1008457,83953,SF,null,null,1681 Church St.,SF,Twin Peaks Pizza and Pasta Inc.,CA,94131,14155699200,94131,H24
Win Garden,2794 Diamond St,1017813,84889,SF,null,null,2794 Diamond Street,San Francisco,Win Garden,CA,94131,14155268592,94131,H25
When Butter Met Sugar,101 Olympia Way,1016037,84969,San Francisco,null,null,101 Olympica Way,San Francisco,When Butter Met Sugar LLC,CA,94131,null,94131,H98
Clay Oven Indian Cuisine,1689 Church St,1021395,86658,SF,null,null,770 36 Ave,SF,Appam SF Corporation,CA,94121,14155822400,94131,H25
Noe Sushi,1740 Church St,1035843,88116,null,null,null,1740 Church St,San Francisco,S. X. Kernel LLC,CA,94131,14155370795,94131,H25
MOZZARELLA DI BUFALA PIZZERIA II,069 WEST PORTAL Ave,351750,741,SF,37.7401,-122.467,069 WEST PORTAL Ave,SF,YUMMY TUMMY L.L.C.,CA,94127,14155668900,94127,H24
RAILROAD EXPRESSO CAFE,705  Blvd,316674,994,SF,37.7315,-122.451,705  MONTEREY Blvd,SF,"SMITH, FRED",CA,94127,14155334009,94127,H24
STARBUCKS COFFEE,675 PORTOLA Dr,911744,1486,SF,37.7447,-122.453,675  PORTOLA Dr,SF,STARBUCKS COFFEE CO.,CA,94127,14155689477,94127,H25
Raintree Cafe,118 West Portal Ave,479498,1700,SF,37.7394,-122.467,252 Riviera Dr.,San Rafael,Rain Tree Café Inc.,CA,94901,14155249000,94127,H25
EL TOREADOR FONDA MEXICANA RESTAURANT,050 WEST PORTAL Ave,129476,1702,SF,37.7403,-122.466,50 WEST PORTAL AVE.,SAN FRANCISCO,"SHEELAR RESTAURANT SERVICES, INC.",CA,94127,null,94127,H25
BULLSHEAD RESTAURANT,840 ULLOA St,396972,1950,SF,37.7408,-122.466,840 Ulloa St.,SF,"Shim, Tom",CA,94127,14155664350,94127,H25
Spiazzo,033 WEST PORTAL Ave,300541,1963,SF,37.7405,-122.466,033 WEST PORTAL AVE,SF,Spiazzo Inc.,CA,94127,14155669511,94127,H25
MCCARTHY'S PORTALS,179 WEST PORTAL Ave,159824,2298,SAN FRANCISCO,37.739,-122.468,179 WEST PORTAL AVENUE,SAN FRANCISCO,"GORWKY, DONALD & MARY KING",CA,94127,null,94127,H86
NEW EMMY'S RESTAURANT,1923 OCEAN Ave,346856,2808,S.F.,37.7254,-122.463,1923 OCEAN Ave,SF,"LAU, JACKIE",CA,94127,14155728615,94127,H25
KENTUCKY FRIED CHICKEN,2040 OCEAN Ave,168521,3260,SAN FRANCISCO,37.7263,-122.465,2040 OCEAN AVE,SAN FRANCISCO,"HARMAN, PHIL & WENDY INC",CA,94127,14155580566,94127,H26
Mollie Stone's Tower Market,635 Portola Drive,307283,3677,SF,37.7449,-122.452,653 Portola Drive,SF,Albeco Inc.,CA,94127,null,94127,H08
ROUND TABLE PIZZA,737 PORTOLA Dr,352255,3678,SF,37.7442,-122.453,737 PORTOLA Dr,SF,MONT BLANC PIZZERIAS INC.,CA,94127,14155689595,94127,H25
Philosphers Club,824 ULLOA St,385202,4021,SF,37.7408,-122.465,824 Ulloa St.,SF,Philosphers Inc.,CA,94127,null,94127,H86
FRIENDS BAR,558 MONTEREY Blvd,467319,4101,SAN FRANCISCO,37.7316,-122.448,558 MONTEREY BLVD,SF,Evelyn Lam,CA,94127,null,94127,H86
MIRALOMA CLUB,749 Portola Dr,922760,4294,SF,37.7441,-122.454,749 PORTOLA DR.,SF,"KAJOUEE, HOSSEIN",CA,94127,14155561131,94127,H86
PEET'S COFFEE & TEA,054 WEST PORTAL Ave,196325,4539,SF,37.7403,-122.466,054 WEST PORTAL AVE,SF,"Peet's Coffee & Teas, Inc.",CA,94127,14155730375,94127,H28
7-Eleven Food Store,2000 Ocean Ave,194673,4545,SF,37.7262,-122.465,2000 Ocean Ave.,SF,"Patel, Mitesh",CA,94127,14155587111,94127,H28
Zanze's Cheesecake,2405 Ocean Ave,116450,4630,SF,37.7301,-122.47,2405 Ocean Ave.,SF,"Zanze, Sam",CA,94127,14155332264,94127,H28
NOAH'S NEW YORK BAGELS #2937,028 WEST PORTAL Ave,353177,4637,SF,37.7406,-122.466,"555 Zang St., Suite 300",Lakewood,Einstein and Noah Corp.,CO,80228,14155668443,94127,H28
EMPIRE THEATRE,085 WEST PORTAL Ave,342212,4667,SF,37.7399,-122.467,085 WEST PORTAL Ave,SF,"CENTURY THEATRES, INC.",CA,94127,14155664950,94127,H28
CLAREMONT SERVICES,301 CLAREMONT Blvd,352910,6421,SF,37.7406,-122.465,301 CLAREMONT Blvd,SF,TRANSBAY AUTO SERVICE INC.,CA,94127,14155665401,94127,H01
SAFEWAY #759,625 MONTEREY Blvd,24669,7744,SF,37.7315,-122.45,625 Monterey Blvd,SF,"SAFEWAY STORES, INC.",CA,94127,14155582421,94127,H10
WEST PORTAL PRODUCE MARKET,222 WEST PORTAL Ave,195649,7802,SAN FRANCISCO,null,null,222 WEST PORTAL AVE,SAN FRANCISCO,WEST PORTAL PRODUCE MARKET,CA,94127,null,94127,H03
Sushi Suki Restaurant,360 C West Portal Ave,395854,17723,SF,37.7389,-122.458,538 Vienna St.,SF,Bing Chang Cai and Shan Shan Lei,CA,94112,null,94127,H25
Que Syrah,230 West Portal Ave,377992,18268,SF,37.7386,-122.468,17 Wood St. #101,SF,"Eclectic Cup, LLC",CA,94118,null,94127,H87
Pho Ha Tien,1900 OCEAN Ave,397392,19138,SAN FRANCISCO,37.7253,-122.462,1900 Ocean Ave.,SF,"Pho Ha Tien, Inc.",CA,94127,null,94127,H24
Roti Indian Bistro,53 West Portal Ave,414472,33641,SF,37.7402,-122.466,53 West Portal Ave.,SF,"Billy G LLC, Rustom Swaleh",CA,94127,null,94127,H25
Pop's Sandwich Shop,737 Portola Dr,352255,36519,SF,null,null,737 Portola Drive,SF,"Mont Blanc Pizzerias, Inc.",CA,94127,null,94127,H24
K's Kitchen,757 Monterey Blvd,428254,38798,SF,37.7315,-122.452,757-759 Monterey Blvd.,SF,"K2008 Corporation, Becky Ling",CA,94127,null,94127,H25
Clay Oven Indian Restaurant,385 WEST PORTAL Ave,439886,60484,SF,37.7368,-122.47,385 West Portal,SF,N. Malhi (SF) Corp.,CA,94127,null,94127,H25
Greenhouse Cafe,329 WEST PORTAL Ave,448997,63258,SF,37.7375,-122.469,3217 Santiago St.,SF,"Rehman Development, LLC",CA,94116,null,94127,H24
Pizzeria Sophia,1934 OCEAN Ave,453308,64502,SAN FRANCISCO,37.7257,-122.463,1934 Ocean,SF,Ocean Street Foods Inc.,CA,94127,null,94127,H28
Bay Subway,500 Parnassus Ave,397033,65265,SF,37.7635,-122.458,1457 Lake St.,SF,Bay Subway,CA,94118,null,94127,H24
Tower Burger,729 PORTOLA Dr,464712,68159,SF,37.7441,-122.454,140 London Ct,San Bruno,Won Dae Yoon,CA,94066,null,94127,H25
AFC SUSHI at Mollie Stone's #10,635 Portola Dr,467295,68257,SF,37.7449,-122.452,19205 S Laurel Park Road,Rancho Dominguez,Advanced Fresh Concepts Franchise Corporation,CA,90220,14155661600,94127,H28
Miraloma Liquors,691 PORTOLA Dr,467878,68400,SF,37.7445,-122.453,691 Portola Dr.,San Francisco,Kim & Kwon Corp.,CA,94127,null,94127,H07
Orexi Inc.,243 WEST PORTAL Ave,184048,69217,SF,37.7384,-122.468,243 West Portal Ave.,Sf,John Loufas,CA,94127,14155863810,94127,H25
Goat Hill Pizza,170 WEST PORTAL Ave,104709,69259,SAN FRANCISCO,37.7392,-122.468,300 Connecticut Street,San Francisco,"Goat Hill, Inc",Ca,94107,14155641440,94127,H25
Tsing's Chinese Restaurant,361 WEST PORTAL Ave,470263,69486,SF,null,null,1562 41st Avenue,San Francisco,Qinglin Inc.,CA,94122,14155817297,94127,H25
Daily West Portal Xpress,36 West Portal Ave,471246,69815,SF,null,null,375 87th Street Apt #3,Day City,"Haddad, Issa",CA,94015,14155415268,94127,H03
Monterey Deli,499 Monterey Blvd,472263,70071,San Francisco,null,null,"1241 18th Ave., #3",San Francisco,Almir Zalihic,CA,94122,14155741225,94127,H07
CvS/Pharmacy #1983,701 PORTOLA Dr,455171,70120,SF,null,null,One CVS Dr.,Woonsocket,Garfield Beach CVS LLC,RI,02895,14151761500,94127,H04
Big Joe's Broiller #2,717 Monterey Blvd,367245,70216,SF,null,null,715 Monterey Blvd,San Francisco,Adriana & Peter Azar,CA,94127,14155458711,94127,H24
Burrito Loco,850 ULLOA St,466964,70434,SF,37.7409,-122.466,1667 9th Ave,SF.,Friends Dynasty Inc.,CA,94122,14155664677,94127,H24
Trattoria Da Vittorio,150 WEST PORTAL Ave,478455,70838,SAN FRANCISCO,37.7392,-122.468,"556 Prospect St., #1",San Carlos,"Italobella, Inc.",CA,94070,14150507976,94127,H25
Mccarthy's Irish Bar,046 WEST PORTAL Ave,475875,71562,SF,37.7404,-122.466,1812 47th Ave. #2,San Francisco,Nell Mccarthy's Irish Bar LLC,CA,94122,14155561412,94127,H86
Shanghai Dumpling King 2,696 Monterey Blvd,477454,71909,SF,37.7316,-122.451,696 Monterey Blvd.,San Francisco,"Run Wei, Inc.",CA,94127,14155232380,94127,H26
Kwik & Convenient,600 Monterey Blvd,393714,72153,San Francisco,null,null,600 Monterey Blvd.,San Francisco,"Nahek Enterprises, Inc.",CA,94127,14155334140,94127,H07
Miraloma Market,755 Portola Dr,424771,74010,San Francisco,null,null,2928 Diamond St. #3,S.F.,Jaein Choi,CA,94131,14155682474,94127,H07
Rice Valley,667 Monterey Blvd,462353,75229,SF.,null,null,1949 Alvina Dr.,Pleasant Hill,Rice Valley Inc.,CA,94523,14155495048,94127,H26
Quickly,44 West Portal Ave,1017729,77669,SF,null,null,257 Dannis Dr.,Daly City,GHSW and Associates Inc,CA,94015,14155343905,94127,H25
Submarine Center,820 Ulloa St,488823,78727,SF,null,null,64 Forest View Dr.,San Francisco,"Submarine Center, LLC.",CA,94132,14155561455,94127,H24
HelioRoast,161 Evelyn Way,468079,79222,San Francisco,null,null,161 Evenlyn Way,San Francisco,Kern R. Trembath,CA,94127,null,94127,H99
Creightons Cheese and Fine Foods,673 Portola Dr,490906,79563,SF,null,null,2223 25th Ave.,San Francisco,Theary C. Wong,CA,94116,14155750750,94127,H25
"Calibur, Inc.",68 West Portal Ave,1002172,79661,SF,null,null,20 Peralta Ave.,SF,"Calibur, Inc",CA,94110,14155775799,94127,H25
TinyB Chocolate,190 Evelyn Way,1002621,79967,SF,null,null,190 Evelyn Way,SF,Andrei Stoica,CA,94127,14150648899,94127,H99
Peek-a-Boo Factory,2 West Portal Ave,1001597,80292,SF,null,null,310 Stoneridge Ln,SF,"Peekaboo Factory, Inc",CA,94134,14155786970,94127,H03
Toast Eatery,160 West Portal Ave,1006694,80417,SF,null,null,96 Inverwess Dr,SF,"Toast Eatery S.F.W.P., LLC",CA,94132,14155602318,94127,H25
VinDebut LLC,9 West Portal Ave,444928,80819,SF,null,null,9 West Portal Avenue,Sab Francisco,Vin Debut LLC,CA,94127,14155351136,94127,H26
Rainbow T Dessert,1939 Ocean Ave,1005289,80894,SF,null,null,1939 Ocean Ave.,San Francisco,Rainbow T Dessert Inc.,CA,94127,14155328422,94127,H24
Chaiya Thai Restaurant,272 Claremont Blvd,1016992,83097,SF,null,null,624 St. Francis Blvd,Daly City,Chaiya Thai Corporation,CA,94015,14155990345,94127,H25
Zest LLC,316 San Benito Way,1015339,84000,San Francisco,null,null,316 San Benito Way,San Francisco,Zest LLC,CA,94127,null,94127,H99
Joe's Excellent Chinese Cuisine,1919 Ocean Ave,1019539,85383,SF,null,null,816 Lausanne Ave,Daly City,Kyle Ka Hoo Li,CA,94014,14155581919,94127,H25
Won Kok Restaurant,700 Monterey Blvd,1022103,86076,SF,null,null,59 Stoneyford Ave,SF,Won Kok Restaurant,CA,94112,14155581826,94127,H26
The Dubliner West Portal,328 West Portal Ave,1022556,86145,SF,null,null,6 Wilshire Court,Daly City,Lost In The Fog LLC,CA,94015,14155569444,94127,H86
The Manor,321 A West Portal Ave,1029431,86692,SF,null,null,164 Galewood Circle,SF,Manor Social Club LLC,CA,94131,14155662468,94127,H25
Blue Iguana,600 Monterey Blvd,483574,86742,San Francisco,null,null,62 Staples Avenue,San Francisco,LHO Inc,CA,94131,null,94127,H79
Joyful Kitchen,1919 Ocean Ave,1037710,88340,null,null,null,1919 Ocean Avenue,San Francisco,Joyful Yummy Inc,CA,94127,14155331919,94127,H25
J.B.'S PLACE,1435 17th St,957402,88,S.F.,37.765,-122.398,21 OAKRIDGE DR.,DALY CITY,"NASRAH, NASSER I. & NAIEL I.",CA,94015,null,94107,H24
JIM'S SMOKE SHOP,600 20th St,188024,200,S.F.,37.7606,-122.388,100 FONT BLVD. #1-J,S.F.,KYU HO LEE,CA,94132,null,94107,H24
HOUSE OF HUNAN,2 Townsend St,376116,413,S.F.,37.7579,-122.394,1512 CALIFORNIA ST. #2,S.F.,"HO, WAI KING & ZHU, LAING MEI",CA,94109,null,94107,H24
CHATZ,301 ARKANSAS St,385681,424,S.F.,37.7623,-122.398,294 Santa Monica Avenue,Menlo Park,"CYRYZ, Inc.",CA,94025,null,94107,H28
APERTO RESTAURANT,1434 18th St,921479,765,S.F.,37.7626,-122.397,245 LAWTON ST.,S.F.,APERTO INC.,CA,94122,null,94107,H24
MOSHI MOSHI,2092 03rd St,151178,768,S.F.,37.7632,-122.389,1450 VAN NESS AVE.,S.F.,"AKINAI, INC.",CA,94109,null,94107,H24
MARIPOSA HUNTERS POINT YACHT CLUB,405 TERRY FRANCOIS Blvd,779055,773,S.F.,37.7733,-122.387,405 TERRY FRANCOIS Blvd,S.F.,"MARIPOSA HUNTERS POINT YACHT CLUB, INC.",CA,94107,null,94107,H24
BAY VIEW BOAT CLUB,429 Terry Francois St,779056,774,S.F.,37.7727,-122.387,429 CHINA BASIN,S.F.,BAY VIEW BOAT CLUB,CA,94107,null,94107,H24
MONTE CRISTO SOCIAL CLUB,136 MISSOURI St,484699,782,S.F.,37.7646,-122.397,136 LISBON,S.F.,"MONTE CRISTO SOCIAL CLUB, INC.",CA,94112,14150770519,94107,H23
EDEN PLAZA CAFE,600 HARRISON St,316211,811,S.F.,37.784,-122.396,800 HACIENDA ST.,MILLBRAE,"NASRA, ELIAS; RIMA; REEM; HELEN & MIKE",CA,94030,null,94107,H28
A2 CAFE,450 IRWIN St,331213,1482,S.F.,37.7672,-122.399,235 BAY RIDGE DR.,DALY CITY,"DRENG, KIM",CA,94014,null,94107,H24
ZEKE'S DIAMOND BAR,600 03rd St,924375,1490,S.F.,37.78,-122.394,709 Lake Street,S.F.,"ZEKE'S DIAMOND BAR, INC.",CA,94118,null,94107,H25
AT&T - Cognac Bar/ KITCHEN Room3232 [145080],24 WILLIE MAYS PLAZA 3.28.01,303652,1515,S.F.,37.7784,-122.391,1 INDEPENDENCE POINTE #305,GREENVILLE,VOLUME SERVICES INC,SC,29615,14155971500,94107,H25
AT&T - FIELD CLUB KITCHEN [145082],24 WILLIE MAYS PLAZA 1.11.04,303652,1516,S.F.,37.7784,-122.391,1 INDEPENDENCE POINTE #305,GREENVILLE,VOLUME SERVICES INC,SC,29615,14155971500,94107,H25
AT&T -in-seat service KITCHEN/Press Dining [145081],24 WILLIE MAYS PLAZA 3.12.05,303652,1517,S.F.,37.7784,-122.391,1 INDEPENDENCE POINTE #305,GREENVILLE,VOLUME SERVICES INC,SC,29615,14155971500,94107,H25
CITY'S CHOICE,301 05th St,315787,1527,S.F.,37.7803,-122.403,80 PEABODY STREET,S.F.,"YANG, DE XI",CA,94134,14155891888,94107,H24
STARBUCKS,490 BRANNAN St,911744,1529,S.F.,37.7787,-122.396,P.O. BOX 34067-STAX,SEATTLE,STARBUCKS COFFEE CO.,WA,98124,14155240256,94107,H25
BRICK HOUSE CAFE,426 BRANNAN St,381337,1613,S.F.,37.7795,-122.395,426 Brannan St.,S.F.,Frederick B. Reeves,CA,94107,null,94107,H25
Just For You Cafe Inc.,732 22ND St,426156,1671,S.F.,37.7579,-122.389,535 McLaughlen St.,Richmond,Just For You Café Inc.,CA,94805,null,94107,H25
PRIMO PATIO CAFE,214 Townsend St,923419,1677,S.F.,37.7786,-122.393,150 College Ave.,S.F.,"Kelton, Christopher & Noel",CA,94112,14155951129,94107,H25
FRINGALE,570 04th St,207610,2145,S.F.,37.7787,-122.397,1269 DOLORES #3,S.F.,"FRINGALE, INC.",CA,94103,null,94107,H25
HARD KNOX CAFE,2526 03rd St,339611,2152,S.F.,37.7576,-122.388,444 HIGATE DR.,DALY CITY,"HUA, TONY C.",CA,94014,null,94107,H25
GOAT HILL PIZZA,300 CONNECTICUT St,104709,2156,S.F.,37.7624,-122.398,651 33RD AVE,S.F.,"DEANDRADE P. LIPSKI, ET. AL.",CA,94121,null,94107,H25
SB40/Carmens Restaurant,Pier 40 The Embarcadero,4965,2579,S.F.,37.7816,-122.388,39 MAJESTIC AVE.,S.F.,Benito Solis,CA,94112,null,94107,H25
LEE'S DELI,303 02nd St,147648,2778,S.F.,37.785,-122.396,3875 LOS ARABIS DR.,LAFAYETTE,"STERLING M. ENTERPRISES, INC.",CA,94549,null,94107,H25
AT&T - MAIN KITCHEN/SUITE LEVEL [145084],24 WILLIE MAYS PLAZA 4.10.03,303652,2861,S.F.,37.7784,-122.391,1 INDEPENDENCE POINTE #305,GREENVILLE,VOLUME SERVICES INC,SC,29615,14155971500,94107,H26
MOMO'S,760 02nd St,316853,2885,S.F.,37.78,-122.39,760 2ND ST,SAN FRANCISCO,GOLDEN BEAR REST ASSN LLC,CA,94107,null,94107,H26
Public House/Mijita,24 WILLIE MAYS PLAZA,168329,2899,S.F.,37.7784,-122.391,24  WILLIE MAYS PLAZA,S.F.,BON APPETIT MANAGEMENT CO.,CA,94107,null,94107,H26
KOH SAMUI & THE MONKEY,415 BRANNAN St,326368,2973,S.F.,37.7798,-122.395,350 GREENWICH ST.,S.F.,"THAI SPEED, INC.",CA,94133,14155579885,94107,H26
CHA-AM RESTAURANT,701 FOLSOM St,921051,3065,S.F.,37.7837,-122.399,1400 GLENDALE,BERKELEY,TAVEE POKKASUB CO.,CA,94708,14155549710,94107,H26
FLOWER MARKET CAFE,698 BRANNAN St,185618,3070,S.F.,37.7757,-122.4,219 14TH AVENUE,S.F.,"BECHELLI, MARK & ROSSI, ROBERT",CA,94118,14155497162,94107,H26
"HOTEL UTAH SALOON, THE",500 04th St,374488,3072,S.F.,37.7795,-122.398,500  4TH St,S.F.,"UTAH SALOON, LLC",CA,94107,null,94107,H26
DELANCEY ST. RESTAURANT,600 EMBARCADERO St,933247,3073,S.F.,37.7839,-122.388,2563 DIVISADERO ST.,S.F.,DELANCEY STREET FOUNDATION,CA,94115,null,94107,H26
TOWN'S END RESTAURANT & BAKERY,2 TOWNSEND St,204051,3102,S.F.,37.7819,-122.388,2  TOWNSEND ST,S.F.,"SPERBER, DAVID",CA,94107,14155510749,94107,H26
21ST AMENDMENT BREWERY CAFE,563 02nd St,310896,3397,S.F.,37.7824,-122.393,563  2ND St,S.F.,"21ST AMENDMENT BREWERY CAFÉ, LLC",CA,94107,null,94107,H26
"CANTON DIM SUM HOUSE, INC.",655 Folsom St,320342,3456,S.F.,37.7846,-122.398,933 SACRAMENTO ST.,S.F.,"CANTON DIM SUM HOUSE, INC.",CA,94108,null,94107,H26
RESTAURANT LULU,812 FOLSOM St,933484,3457,S.F.,37.7816,-122.402,816 FOLSOM ST,SAN FRANCISCO,RESTAURANT LULU INC,CA,94107,14155495775,94107,H26
3rd Street Grill,695 03rd St,387389,3864,S.F.,37.7791,-122.393,1635 11th Avenue,SF,"Gordon, Victoria L. & Rochin, Luis F.",CA,94122,null,94107,H29
MCDONALD'S,701 03rd St,928174,3896,S.F.,37.7788,-122.393,"5 THOMAS MELLON CIRCLE, SUITE 220",S.F.,"RODRICK FOODS, INC.",CA,94134,null,94107,H29
PARAGON RESTAURANT & BAR,701 02nd St,330032,3955,S.F.,37.7805,-122.39,"591 REDWOOD HWY, SUITE 5295",MILL VALLEY,SF PARAGON RESTAURANT PARTNERS L.P.,CA,94941,null,94107,H26
CROSSROADS CAFE,699 DELANCEY St,933247,3962,S.F.,37.783,-122.389,600  EMBARCADERO,S.F.,DELANCEY ST. FOUNDATION,CA,94107,null,94107,H26
AT&T - CLUB BAR #2 Room 3220 [145085],24 WILLIE MAYS PLAZA 3.16.01,303652,3976,S.F.,37.7784,-122.391,1 INDEPENDENCE POINTE #305,GREENVILLE,VOLUME SERVICES INC,SC,29615,14155971500,94107,H86
